123 D101 大连站　　 旅顺口　　 熙来号 2012.00 98
1011 G101 哈尔滨西　　 马里乌波尔 复兴号 123.00 42
1010 G1013 哈尔滨站　　 台北站　　 复兴号 150.00 80
1009 G1012 香坊货运站 莫斯科站　　 复兴号 150.00 66
1008 G1011 香坊货运站 莫斯科站　　 复兴号 150.00 19
1007 G101 大连北站　　 克拉斯纳达尔 和谐号 999.00 53
1006 G101 大连北站　　 符拉迪沃斯托克 和谐号 999.00 146
1005 G101 大连北站　　 列宁格勒　　 东林号 150.00 170
1004 G101 大连北站　　 伏尔加格勒 东林号 250.00 132
1003 G101 大连北站　　 基辅　　　 东林号 250.00 129
1002 G101 大连北站　　 哈尔科夫　　 离散号 1000.00 146
1001 G101 大连北站　　 别尔哥罗德 丹青号 150.00 19
1100 G101 北京站　　 巴黎　　　 成栋号 150.00 3
1102 G101 北京站　　 柏林　　　 成栋号 150.00 1
